Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,CombinedIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Loan_Default
LP001002,Male,No,0,Graduate,No,5849,0,5849,,360,1,Urban,Y,Y
LP001003,Male,Yes,1,Graduate,No,4583,1508,6091,128,360,1,Rural,N,
LP001350,Male,Yes,,Graduate,No,13650,0,13650,,360,1,Urban,Y,Y
LP001356,Male,Yes,0,Graduate,No,4652,3583,8235,,360,1,Semiurban,Y,N
LP001357,Male,,,Graduate,No,3816,754,4570,160,360,1,Urban,Y,Y
LP001580,Male,Yes,2,Graduate,No,8000,0,8000,200,360,1,Semiurban,Y,N
LP002082,Male,Yes,0,Graduate,Yes,5818,2160,7978,184,360,1,Semiurban,Y,Y
LP002820,Male,Yes,0,Graduate,No,5923,2054,7977,211,360,1,Rural,Y,N
LP002958,Male,No,0,Graduate,No,3676,4301,7977,172,360,1,Rural,Y,Y
LP001758,Male,Yes,2,Graduate,No,6250,1695,7945,210,360,1,Semiurban,Y,Y
LP002622,Male,Yes,2,Graduate,No,3510,4416,7926,243,360,1,Rural,Y,N
LP001519,Female,No,0,Graduate,No,10000,1666,11666,225,360,1,Rural,N,
LP001811,Male,Yes,0,Not Graduate,No,3406,4417,7823,123,360,1,Semiurban,Y,N
LP001528,Male,No,0,Graduate,No,6277,0,6277,118,360,0,Rural,N,
LP001713,Male,Yes,1,Graduate,Yes,7787,0,7787,240,360,1,Urban,Y,Y
LP001531,Male,No,0,Graduate,No,9166,0,9166,244,360,1,Urban,N,
LP001532,Male,Yes,2,Not Graduate,No,2281,0,2281,113,360,1,Rural,N,
LP002484,Male,Yes,3+,Graduate,No,7740,0,7740,128,180,1,Urban,Y,N
LP002984,Male,Yes,2,Graduate,No,7583,0,7583,187,360,1,Urban,Y,N
LP001541,Male,Yes,1,Graduate,No,6000,0,6000,160,360,,Rural,Y,N
